timestamp,event_type,symbol_pair,side,quantity,entry_price,exit_price,pnl,equity_at_event,event_id
2026-03-16T17:51:58.996921,TRADE_ENTRY,PAIR_0,long,10.0,100.0,,,100000.0,2026-03-16T17:51:58.996929_PAIR_0
2026-03-16T17:51:59.006747,TRADE_ENTRY,PAIR_1,long,10.0,100.0,,,100000.0,2026-03-16T17:51:59.006754_PAIR_1
2026-03-16T17:51:59.010932,TRADE_ENTRY,PAIR_2,long,10.0,100.0,,,100000.0,2026-03-16T17:51:59.010937_PAIR_2
2026-03-16T17:51:59.021147,TRADE_ENTRY,PAIR_1,long,10.0,100.0,,,100000.0,2026-03-16T17:51:59.021152_PAIR_1
2026-03-16T17:51:59.025605,TRADE_EXIT,PAIR_1,,10.0,,95.0,-50.0,100000.0,2026-03-16T17:51:59.025612_PAIR_1
2026-03-16T17:51:59.029428,TRADE_ENTRY,PAIR_2,long,10.0,100.0,,,100000.0,2026-03-16T17:51:59.029433_PAIR_2
2026-03-16T17:51:59.033043,TRADE_EXIT,PAIR_2,,10.0,,98.0,-20.0,100000.0,2026-03-16T17:51:59.033052_PAIR_2
2026-03-16T17:52:17.262969,TRADE_ENTRY,PAIR_0,long,10.0,100.0,,,100000.0,2026-03-16T17:52:17.262973_PAIR_0
2026-03-16T17:52:17.272385,TRADE_ENTRY,PAIR_1,long,10.0,100.0,,,100000.0,2026-03-16T17:52:17.272390_PAIR_1
2026-03-16T17:52:17.276687,TRADE_ENTRY,PAIR_2,long,10.0,100.0,,,100000.0,2026-03-16T17:52:17.276692_PAIR_2
2026-03-16T17:52:17.286959,TRADE_ENTRY,PAIR_1,long,10.0,100.0,,,100000.0,2026-03-16T17:52:17.286963_PAIR_1
2026-03-16T17:52:17.291045,TRADE_EXIT,PAIR_1,,10.0,,95.0,-50.0,100000.0,2026-03-16T17:52:17.291052_PAIR_1
2026-03-16T17:52:17.294511,TRADE_ENTRY,PAIR_2,long,10.0,100.0,,,100000.0,2026-03-16T17:52:17.294515_PAIR_2
2026-03-16T17:52:17.298222,TRADE_EXIT,PAIR_2,,10.0,,98.0,-20.0,100000.0,2026-03-16T17:52:17.298227_PAIR_2
2026-03-16T17:59:23.926769,TRADE_ENTRY,PAIR_0,long,10.0,100.0,,,100000.0,2026-03-16T17:59:23.926777_PAIR_0
2026-03-16T17:59:23.934727,TRADE_ENTRY,PAIR_1,long,10.0,100.0,,,100000.0,2026-03-16T17:59:23.934734_PAIR_1
2026-03-16T17:59:23.938544,TRADE_ENTRY,PAIR_2,long,10.0,100.0,,,100000.0,2026-03-16T17:59:23.938548_PAIR_2
2026-03-16T17:59:23.946960,TRADE_ENTRY,PAIR_1,long,10.0,100.0,,,100000.0,2026-03-16T17:59:23.946964_PAIR_1
2026-03-16T17:59:23.951121,TRADE_EXIT,PAIR_1,,10.0,,95.0,-50.0,100000.0,2026-03-16T17:59:23.951129_PAIR_1
2026-03-16T17:59:23.954993,TRADE_ENTRY,PAIR_2,long,10.0,100.0,,,100000.0,2026-03-16T17:59:23.954998_PAIR_2
2026-03-16T17:59:23.958590,TRADE_EXIT,PAIR_2,,10.0,,98.0,-20.0,100000.0,2026-03-16T17:59:23.958597_PAIR_2
2026-03-16T17:59:42.709590,TRADE_ENTRY,PAIR_0,long,10.0,100.0,,,100000.0,2026-03-16T17:59:42.709596_PAIR_0
2026-03-16T17:59:42.714833,TRADE_ENTRY,PAIR_1,long,10.0,100.0,,,100000.0,2026-03-16T17:59:42.714838_PAIR_1
2026-03-16T17:59:42.718437,TRADE_ENTRY,PAIR_2,long,10.0,100.0,,,100000.0,2026-03-16T17:59:42.718442_PAIR_2
2026-03-16T17:59:42.728433,TRADE_ENTRY,PAIR_1,long,10.0,100.0,,,100000.0,2026-03-16T17:59:42.728441_PAIR_1
2026-03-16T17:59:42.733045,TRADE_EXIT,PAIR_1,,10.0,,95.0,-50.0,100000.0,2026-03-16T17:59:42.733051_PAIR_1
2026-03-16T17:59:42.737093,TRADE_ENTRY,PAIR_2,long,10.0,100.0,,,100000.0,2026-03-16T17:59:42.737098_PAIR_2
2026-03-16T17:59:42.740955,TRADE_EXIT,PAIR_2,,10.0,,98.0,-20.0,100000.0,2026-03-16T17:59:42.740960_PAIR_2
2026-03-16T18:18:44.114091,TRADE_ENTRY,PAIR_0,long,10.0,100.0,,,100000.0,2026-03-16T18:18:44.114115_PAIR_0
2026-03-16T18:18:44.122716,TRADE_ENTRY,PAIR_1,long,10.0,100.0,,,100000.0,2026-03-16T18:18:44.122723_PAIR_1
2026-03-16T18:18:44.126642,TRADE_ENTRY,PAIR_2,long,10.0,100.0,,,100000.0,2026-03-16T18:18:44.126647_PAIR_2
